Barrio,abigeato,amenazas,delitos-sexuales,homicidios,hurto-a-entidades-financieras,hurto-comercio,hurto-de-automotores,hurto-de-motocicletas,hurto-personas,lesiones-personales,pirateria-terrestre
LA COLINA CNO REPORTADA15,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA CORDILLERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LA CRUZ C-3,0.0,0.0,15.0,1.0,0.0,2.0,0.0,6.0,6.0,21.0,0.0
LA ESPERANZA 2 C-1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,7.0,0.0
LA ESPERANZA C-6,0.0,0.0,9.0,5.0,0.0,17.0,3.0,23.0,42.0,39.0,0.0
LA ESPERANZA CNO REPORTADA6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA FERRERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LA FLORESTA C-12,0.0,0.0,11.0,4.0,0.0,21.0,5.0,36.0,178.0,18.0,0.0
LA FLORESTA CNO REPORTADA12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA FLORIDA C-14,0.0,0.0,2.0,1.0,0.0,17.0,2.0,2.0,96.0,14.0,0.0
LA FRANCIA  C-2,0.0,0.0,15.0,2.0,0.0,7.0,3.0,6.0,7.0,27.0,0.0
LA FRONTERA  C-2,0.0,0.0,4.0,0.0,0.0,6.0,1.0,2.0,9.0,7.0,0.0
LA GLORIA C-16,0.0,0.0,5.0,3.0,0.0,10.0,10.0,20.0,66.0,18.0,0.0
LA HONDA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
LA HONDONADA C-16,0.0,0.0,2.0,1.0,0.0,4.0,3.0,11.0,16.0,9.0,0.0
LA HONDONADA CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA INMACULADA #1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LA ISLA C-2,0.0,0.0,14.0,0.0,0.0,5.0,1.0,4.0,8.0,18.0,0.0
LA ISLA CNO REPORTADA2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA LADERA C-8,0.0,0.0,1.0,2.0,0.0,3.0,1.0,15.0,8.0,5.0,0.0
LA LIBERTAD C-8,0.0,0.0,17.0,2.0,0.0,4.0,1.0,8.0,10.0,25.0,0.0
LA LOMA DE LOS BERNAL C-16,0.0,0.0,1.0,4.0,0.0,3.0,1.0,7.0,74.0,19.0,0.0
LA MANSION C-8,0.0,0.0,5.0,0.0,0.0,9.0,7.0,19.0,32.0,14.0,0.0
LA MILAGROSA  C-9,0.0,0.0,9.0,0.0,0.0,4.0,7.0,31.0,48.0,21.0,0.0
LA MILAGROSA  CNO REPORTADA9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA MOTA C-16,0.0,0.0,3.0,0.0,0.0,12.0,4.0,12.0,80.0,8.0,0.0
LA MOTA CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA NUBIA,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LA OCULTA GUAYABAL  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0
LA PALMA C-16,0.0,0.0,2.0,0.0,0.0,12.0,3.0,7.0,35.0,12.0,0.0
LA PALOMERA  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
