Barrio,abigeato,amenazas,delitos-sexuales,homicidios,hurto-a-entidades-financieras,hurto-comercio,hurto-de-automotores,hurto-de-motocicletas,hurto-personas,lesiones-personales,pirateria-terrestre
VDA. PIEDRA GORDA STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0
VDA. PIEDRAS BLANCAS STA. E.,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,4.0,0.0
VDA. POTRERITO S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
VDA. SAN GABRIEL S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VDA. SAN JOSE DE LA MONTAÑA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VDA. SAN JOSE LA LOMA S.C.,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
VDA. SAN JOSE S.A.P.,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
VDA. SAN JOSÉ DEL MANZANILLO,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
VDA. SAN PABLO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. SAN PEDRO LA LOMA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
VDA. SAN VICENTE FERRER LOMA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VDA. TRAVESIAS S.C.,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
VDA. YARUMALITO S.A.P.,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDA. YOLOMBO S.C.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
VEINTE DE JULIO C-13,0.0,0.0,7.0,5.0,0.0,12.0,0.0,17.0,16.0,37.0,0.0
VERSALLES 1 C-3,0.0,0.0,15.0,2.0,0.0,9.0,1.0,6.0,14.0,51.0,0.0
VERSALLES 2 C-3,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0
VIA A LA ESTRELLA  S.A.P.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIA AL MAR S.C.,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,8.0,8.0,0.0
VIA HELICONIA  S.A.P.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0
VIA SANTA ELENA  C-9,0.0,0.0,3.0,0.0,0.0,3.0,1.0,6.0,27.0,8.0,0.0
VIA SANTA ELENA  CNO REPORTADA9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIA SANTA ELENA STA. E.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
VILLA CARLOTA C-14,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,31.0,5.0,0.0
VILLA DEL SOCORRO  C-2,0.0,0.0,18.0,4.0,0.0,6.0,0.0,6.0,9.0,35.0,0.0
VILLA ESPERANZA  S.A.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VILLA FLORA C-7,0.0,0.0,8.0,2.0,0.0,5.0,3.0,12.0,21.0,14.0,0.0
VILLA FLORA CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA GUADALUPE C-1,0.0,0.0,9.0,0.0,0.0,6.0,1.0,8.0,12.0,19.0,0.0
VILLA HERMOSA C-8,0.0,0.0,16.0,1.0,0.0,23.0,8.0,53.0,62.0,38.0,0.0
VILLA LILLIAN C-8,0.0,0.0,6.0,1.0,0.0,5.0,0.0,2.0,5.0,7.0,0.0
VILLA NIZA  C-2,0.0,0.0,5.0,1.0,0.0,4.0,0.0,4.0,7.0,22.0,0.0
VILLA SOFIA C-7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
VILLA TINA C-8,0.0,0.0,24.0,2.0,0.0,9.0,1.0,14.0,23.0,55.0,0.0
VILLA TURBAY C-8,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0
VILLANUEVA C-10,0.0,0.0,16.0,12.0,0.0,60.0,1.0,36.0,398.0,63.0,0.0
ZONA CENTRAL STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
ZONA CENTRO - PALMITAS,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZONA CENTRO STA. E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ZUÑIGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
